excel_unit_text,excel_drug_name,excel_price_yen,excel_strength
錠,ゾニサミド,15,100ｍｇ1錠
錠,クロバザム,23.3,1％1ｇ
錠,クロバザム,14,5ｍｇ1錠
錠,クロバザム,24.8,10ｍｇ1錠
錠,ガバペンチン,24.6,200ｍｇ1錠
錠,ガバペンチン,31.9,300ｍｇ1錠
錠,ガバペンチン,40.9,400ｍｇ1錠
錠,ガバペンチン,17,5％1ｍＬ
錠,トピラマート,110.2,10％1ｇ
錠,トピラマート,45.1,50ｍｇ1錠
錠,トピラマート,21,50ｍｇ1錠
錠,トピラマート,76.1,100ｍｇ1錠
錠,トピラマート,30.5,100ｍｇ1錠
錠,トピラマート,23,25ｍｇ1錠
錠,トピラマート,11.1,25ｍｇ1錠
錠,ラモトリギン,6.1,2ｍｇ1錠
錠,ラモトリギン,6.1,2ｍｇ1錠
錠,ラモトリギン,6.1,5ｍｇ1錠
錠,ラモトリギン,8.6,5ｍｇ1錠
錠,ラモトリギン,7.6,25ｍｇ1錠
錠,ラモトリギン,28.3,25ｍｇ1錠
錠,ラモトリギン,27.6,25ｍｇ1錠
錠,ラモトリギン,11.7,25ｍｇ1錠
錠,ラモトリギン,11.7,25ｍｇ1錠
錠,ラモトリギン,11.7,25ｍｇ1錠
錠,ラモトリギン,72.6,100ｍｇ1錠
錠,ラモトリギン,75,100ｍｇ1錠
錠,ラモトリギン,28.7,100ｍｇ1錠
錠,ラモトリギン,28.7,100ｍｇ1錠
錠,ラモトリギン,28.7,100ｍｇ1錠
錠,ラモトリギン,28.7,100ｍｇ1錠
錠,レベチラセタム,69.3,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,26.3,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,25.4,250ｍｇ1錠
錠,レベチラセタム,112.9,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,46,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,41.6,500ｍｇ1錠
錠,レベチラセタム,26.3,250ｍｇ1包
錠,レベチラセタム,41.6,500ｍｇ1包
錠,レベチラセタム,133.1,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,レベチラセタム,68.9,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,レベチラセタム,63.7,50％1ｇ
錠,スチリペントール,793.7,250ｍｇ1カプセル
錠,スチリペントール,791.1,250ｍｇ1包
錠,スチリペントール,1580.7,500ｍｇ1包
錠,ルフィナミド,83.2,100ｍｇ1錠
錠,ルフィナミド,136.1,200ｍｇ1錠
錠,ビガバトリン,1514.5,500ｍｇ1包
錠,ペランパネル水和物,1065.6,1％1ｇ
錠,ペランパネル水和物,195.7,2ｍｇ1錠
錠,ペランパネル水和物,319.7,4ｍｇ1錠
錠,ラコサミド,217.8,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,76.3,50ｍｇ1錠
錠,ラコサミド,355.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,124.5,100ｍｇ1錠
錠,ラコサミド,391,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,ラコサミド,137.1,10％1ｇ
錠,フェンフルラミン塩酸塩,1618.7,0．22％1ｍＬ
錠,ブリーバラセタム,373.3,25ｍｇ1錠
錠,ブリーバラセタム,609.3,50ｍｇ1錠
錠,フェニトイン・フェノバルビタール,14.6,1錠
錠,フェニトイン・フェノバルビタール配合剤,6.1,1錠
錠,フェニトイン・フェノバルビタール配合剤,6,1錠
錠,フェニトイン・フェノバルビタール配合剤,6.1,1錠
錠,アセトアミノフェン,7.5,1ｇ
錠,アセトアミノフェン,8.2,1ｇ
錠,アセトアミノフェン,7.7,1ｇ
錠,メフェナム酸,10.7,50％1ｇ
錠,メフェナム酸,12.7,98．5％1ｇ
錠,メフェナム酸,6.5,250ｍｇ1カプセル
錠,メフェナム酸,6.7,3．25％1ｍＬ
錠,アセトアミノフェン,6.7,20％1ｇ
錠,アセトアミノフェン,12.2,20％1ｇ
錠,アセトアミノフェン,12.2,20％1ｇ
錠,アセトアミノフェン,13.6,50％1ｇ
錠,アセトアミノフェン,6.1,200ｍｇ1錠
錠,アセトアミノフェン,6.7,200ｍｇ1錠
錠,アセトアミノフェン,6.7,200ｍｇ1錠
錠,アセトアミノフェン,6.7,200ｍｇ1錠
錠,アセトアミノフェン,6.1,300ｍｇ1錠
錠,アセトアミノフェン,7,300ｍｇ1錠
錠,アセトアミノフェン,7,300ｍｇ1錠
錠,アセトアミノフェン,11.3,500ｍｇ1錠
錠,アセトアミノフェン,11.3,500ｍｇ1錠
錠,アセトアミノフェン,11.2,500ｍｇ1錠
錠,アセトアミノフェン,4.9,2％1ｍＬ
錠,アセトアミノフェン,7.2,20％1ｇ
錠,アセトアミノフェン,17,20％1ｇ
錠,アセトアミノフェン,17,20％1ｇ
錠,アセトアミノフェン,14.8,40％1ｇ
錠,アスピリン,43.8,10ｇ
錠,アスピリン,35.6,10ｇ
錠,アスピリン,49.1,10ｇ
錠,アスピリン,49.1,10ｇ
錠,アスピリン,49.1,10ｇ
錠,エテンザミド,11.7,1ｇ
錠,イソプロピルアンチピリン,12.3,1ｇ
錠,スルピリン水和物,7.5,1ｇ
錠,ミグレニン,7.7,1ｇ
錠,インドメタシン,9.8,25ｍｇ1カプセル
錠,アセメタシン,10.4,30ｍｇ1錠
錠,インドメタシン　ファルネシル,10.7,100ｍｇ1カプセル
錠,インドメタシン　ファルネシル,18.7,200ｍｇ1カプセル
錠,ジクロフェナクナトリウム,5.9,25ｍｇ1錠
錠,ジクロフェナクナトリウム,7.3,25ｍｇ1錠
錠,ジクロフェナクナトリウム,10,37．5ｍｇ1カプセル
錠,ジクロフェナクナトリウム,7.6,37．5ｍｇ1カプセル
錠,チアラミド塩酸塩,10.1,50ｍｇ1錠
錠,チアラミド塩酸塩,10.4,100ｍｇ1錠
錠,イブプロフェン,6.5,20％1ｇ
錠,イブプロフェン,7,20％1ｇ
錠,イブプロフェン,6.1,100ｍｇ1錠
錠,イブプロフェン,6.1,100ｍｇ1錠
錠,イブプロフェン,6.1,100ｍｇ1錠
錠,イブプロフェン,6.1,200ｍｇ1錠
錠,イブプロフェン,8.9,200ｍｇ1錠
錠,イブプロフェン,8.9,200ｍｇ1錠
錠,ナプロキセン,6.1,100ｍｇ1錠
錠,ブコローム,9.6,300ｍｇ1カプセル
錠,フルルビプロフェン,21.2,8％1ｇ
錠,フルルビプロフェン,15.7,40ｍｇ1錠
錠,ジメトチアジンメシル酸塩,8.2,20ｍｇ1錠
錠,ロキソプロフェンナトリウム水和物,13.8,10％1ｇ
錠,ロキソプロフェンナトリウム水和物,21.6,10％1ｇ
錠,ロキソプロフェンナトリウム水和物,10.1,60ｍｇ1錠
錠,ロキソプロフェンナトリウム水和物,10.4,60ｍｇ1錠
錠,ワクシニアウイルス接種家兎炎症皮膚抽出液,28.5,4単位1錠
錠,オキサプロジン,17.6,100ｍｇ1錠
錠,オキサプロジン,19.6,200ｍｇ1錠
錠,ナブメトン,20,400ｍｇ1錠
錠,ザルトプロフェン,10.4,80ｍｇ1錠
錠,ザルトプロフェン,14,80ｍｇ1錠
錠,ザルトプロフェン,10.8,80ｍｇ1錠
錠,アクタリット,19.8,100ｍｇ1錠
錠,アクタリット,28.1,100ｍｇ1錠
錠,アクタリット,29.2,100ｍｇ1錠
錠,エトドラク,6.1,100ｍｇ1錠
錠,エトドラク,8.4,100ｍｇ1錠
錠,エトドラク,10.9,100ｍｇ1錠
錠,エトドラク,11.5,200ｍｇ1錠
錠,エトドラク,12.3,200ｍｇ1錠
錠,エトドラク,15.5,200ｍｇ1錠
錠,塩酸ペンタゾシン,25.8,25ｍｇ1錠
錠,メロキシカム,8,5ｍｇ1錠
錠,メロキシカム,13.8,5ｍｇ1錠
錠,メロキシカム,11.6,5ｍｇ1錠
錠,メロキシカム,11.6,5ｍｇ1錠
錠,メロキシカム,12.4,5ｍｇ1錠
錠,メロキシカム,11.6,5ｍｇ1錠
錠,メロキシカム,10.8,10ｍｇ1錠
錠,メロキシカム,23.2,10ｍｇ1錠
錠,メロキシカム,16.3,10ｍｇ1錠
錠,メロキシカム,16.3,10ｍｇ1錠
錠,メロキシカム,17.4,10ｍｇ1錠
錠,メロキシカム,16.3,10ｍｇ1錠
錠,ロルノキシカム,9.6,2ｍｇ1錠
錠,ロルノキシカム,6.1,2ｍｇ1錠
錠,ロルノキシカム,12.3,4ｍｇ1錠
錠,ロルノキシカム,6.1,4ｍｇ1錠
錠,セレコキシブ,6.1,100ｍｇ1錠
錠,セレコキシブ,21.1,100ｍｇ1錠
錠,セレコキシブ,9.9,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,9.3,100ｍｇ1錠
錠,セレコキシブ,7.9,200ｍｇ1錠
錠,セレコキシブ,31.5,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,14.7,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,セレコキシブ,13.8,200ｍｇ1錠
錠,トラマドール塩酸塩,17,25ｍｇ1錠
錠,トラマドール塩酸塩,9.4,25ｍｇ1錠
錠,トラマドール塩酸塩,29.4,50ｍｇ1錠
錠,トラマドール塩酸塩,16.2,50ｍｇ1錠
錠,トラマドール塩酸塩,68.2,100ｍｇ1錠
錠,トラマドール塩酸塩,47.4,50ｍｇ1錠
錠,トラマドール塩酸塩,83.7,100ｍｇ1錠
錠,トラマドール塩酸塩,115.2,150ｍｇ1錠
錠,トラマドール塩酸塩,28.7,25ｍｇ1錠
錠,エルゴタミン酒石酸塩・無水カフェイン配合剤,12.9,1錠
錠,エルゴタミン酒石酸塩・無水カフェイン配合剤,9.5,1錠
錠,ピラゾロン系解熱鎮痛消炎配合剤,7.5,1ｇ
錠,トラマドール塩酸塩・アセトアミノフェン,7.2,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,26.9,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11.8,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,14.3,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,14.3,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,14.3,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,トラマドール塩酸塩・アセトアミノフェン,11,1錠
錠,メタンフェタミン塩酸塩,300.7,1ｍｇ1錠
錠,アマンタジン塩酸塩,6.7,10％1ｇ
錠,アマンタジン塩酸塩,6.1,50ｍｇ1錠
錠,アマンタジン塩酸塩,8.4,50ｍｇ1錠
錠,アマンタジン塩酸塩,6.1,100ｍｇ1錠
錠,アマンタジン塩酸塩,7.8,100ｍｇ1錠
錠,ビペリデン塩酸塩,11.7,1％1ｇ
錠,ビペリデン塩酸塩,21.4,1％1ｇ
錠,ビペリデン塩酸塩,11,1％1ｇ
錠,ビペリデン塩酸塩,5.9,1ｍｇ1錠
錠,ビペリデン塩酸塩,5.9,1ｍｇ1錠
錠,ビペリデン塩酸塩,5.9,2ｍｇ1錠
錠,レボドパ,48.6,98．5％1ｇ
錠,レボドパ,11.2,200ｍｇ1錠
錠,レボドパ,18.3,250ｍｇ1カプセル
錠,トリヘキシフェニジル塩酸塩,9,2ｍｇ1錠
錠,トリヘキシフェニジル塩酸塩,9.1,2ｍｇ1錠
錠,トリヘキシフェニジル塩酸塩,9.1,2ｍｇ1錠
