col_13,col_7,col_3,col_4,col_9,col_5,col_11,col_14,col_0,col_12,col_6,col_8,col_10,col_15,row,col_1,col_2
,ジアゼパム錠10ｍｇ「ツルハラ」,10ｍｇ1錠,局,後発品,,,,内用薬,5.9,,鶴原製薬,,錠,53,1124017F5096,ジアゼパム
,レキソタン細粒1％,1％1ｇ,,,,,,内用薬,14.9,,サンドファーマ,先発品,錠,54,1124020C1045,ブロマゼパム
,ブロマゼパム細粒1％「サンド」,1％1ｇ,,★,,,,内用薬,15.5,,サンド,,錠,55,1124020C1061,ブロマゼパム
,レキソタン錠1,1ｍｇ1錠,,,,,,内用薬,5.9,,サンドファーマ,先発品,錠,56,1124020F1025,ブロマゼパム
,ブロマゼパム錠1ｍｇ「サンド」,1ｍｇ1錠,,★,,,,内用薬,5.9,,サンド,,錠,57,1124020F1041,ブロマゼパム
,レキソタン錠2,2ｍｇ1錠,,,,○,,内用薬,6.1,,サンドファーマ,先発品,錠,58,1124020F2030,ブロマゼパム
,ブロマゼパム錠2ｍｇ「サンド」,2ｍｇ1錠,,後発品,,,,内用薬,5.9,,サンド,,錠,59,1124020F2056,ブロマゼパム
,ブロマゼパム錠3ｍｇ「サンド」,3ｍｇ1錠,,後発品,,,,内用薬,6.1,,サンド,,錠,60,1124020F3044,ブロマゼパム
,ブロマゼパム5ｍｇ錠,5ｍｇ1錠,,後発品,,,,内用薬,6.1,,,,錠,61,1124020F4016,ブロマゼパム
,レキソタン錠5,5ｍｇ1錠,,,,○,,内用薬,7,,サンドファーマ,先発品,錠,62,1124020F4032,ブロマゼパム
,メダゼパム錠2（ツルハラ）,2ｍｇ1錠,,★,,,,内用薬,8.3,,鶴原製薬,,錠,63,1124021F1046,メダゼパム
,レスミット錠2,2ｍｇ1錠,,,,,,内用薬,5.9,,共和薬品工業,先発品,錠,64,1124021F1054,メダゼパム
,メダゼパム錠5（ツルハラ）,5ｍｇ1錠,,★,,,,内用薬,5.9,,鶴原製薬,,錠,65,1124021F2123,メダゼパム
,レスミット錠5,5ｍｇ1錠,,,,,,内用薬,5.9,,共和薬品工業,先発品,錠,66,1124021F2166,メダゼパム
,ワイパックス錠0．5,0．5ｍｇ1錠,,,,○,,内用薬,6.1,,ファイザー,先発品,錠,67,1124022F1067,ロラゼパム
,ロラゼパム錠0．5ｍｇ「サワイ」,0．5ｍｇ1錠,,後発品,,,,内用薬,5.3,,沢井製薬,,錠,68,1124022F1083,ロラゼパム
,ロラゼパム1ｍｇ錠,1ｍｇ1錠,,後発品,,,,内用薬,5.9,,,,錠,69,1124022F2012,ロラゼパム
,ワイパックス錠1．0,1ｍｇ1錠,,,,○,,内用薬,6.1,,ファイザー,先発品,錠,70,1124022F2071,ロラゼパム
,アルプラゾラム0．4ｍｇ錠,0．4ｍｇ1錠,,後発品,,,,内用薬,5.9,,,,錠,71,1124023F1010,アルプラゾラム
,コンスタン0．4ｍｇ錠,0．4ｍｇ1錠,,,,○,,内用薬,6.1,,Ｔ’ｓ製薬,先発品,錠,72,1124023F1029,アルプラゾラム
,ソラナックス0．4ｍｇ錠,0．4ｍｇ1錠,,,,○,,内用薬,6.1,,ヴィアトリス製薬,先発品,錠,73,1124023F1037,アルプラゾラム
,アルプラゾラム0．8ｍｇ錠,0．8ｍｇ1錠,,後発品,,,,内用薬,6.1,,,,錠,74,1124023F2017,アルプラゾラム
,コンスタン0．8ｍｇ錠,0．8ｍｇ1錠,,,,○,,内用薬,7.7,,Ｔ’ｓ製薬,先発品,錠,75,1124023F2025,アルプラゾラム
,ソラナックス0．8ｍｇ錠,0．8ｍｇ1錠,,,,○,,内用薬,7.6,,ヴィアトリス製薬,先発品,錠,76,1124023F2033,アルプラゾラム
,アルプラゾラム錠0．8ｍｇ「アメル」,0．8ｍｇ1錠,,★,,,,内用薬,8.2,,共和薬品工業,,錠,77,1124023F2084,アルプラゾラム
R8.3.31まで,メレックス細粒0．1％,0．1％1ｇ,,,,,,内用薬,10.8,,アルフレッサファーマ,先発品,錠,78,1124025C1030,メキサゾラム
R8.3.31まで,メレックス錠0．5ｍｇ,0．5ｍｇ1錠,,,,,,内用薬,6.1,,アルフレッサファーマ,先発品,錠,79,1124025F1028,メキサゾラム
R8.3.31まで,メレックス錠1ｍｇ,1ｍｇ1錠,,,,,,内用薬,7.9,,アルフレッサファーマ,先発品,錠,80,1124025F2024,メキサゾラム
,トフィソパム細粒10％「ツルハラ」,10％1ｇ,,後発品,,,,内用薬,10.4,,鶴原製薬,,錠,81,1124026C1115,トフィソパム
,トフィソパム50ｍｇ錠,50ｍｇ1錠,,後発品,,,,内用薬,6.1,,,,錠,82,1124026F1014,トフィソパム
,グランダキシン錠50,50ｍｇ1錠,,,,○,,内用薬,8.2,,持田製薬,先発品,錠,83,1124026F1022,トフィソパム
,クロルジアゼポキシド散,1％1ｇ,局,,,,,内用薬,7.7,,,,錠,84,1124028B1011,クロルジアゼポキシド
,クロルジアゼポキシド散1％「ツルハラ」,1％1ｇ,局,,,,,内用薬,11,,鶴原製薬,,錠,85,1124028B1062,クロルジアゼポキシド
,クロルジアゼポキシド散,10％1ｇ,局,,,,,内用薬,30.6,,,,錠,86,1124028B2018,クロルジアゼポキシド
,クロルジアゼポキシド錠,5ｍｇ1錠,局,,,,,内用薬,10.1,,,,錠,87,1124028F1013,クロルジアゼポキシド
,クロルジアゼポキシド錠,10ｍｇ1錠,局,,,,,内用薬,10.1,,,,錠,88,1124028F2010,クロルジアゼポキシド
,メイラックス細粒1％,1％1ｇ,,,,,,内用薬,123.6,,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,先発品,錠,89,1124029C1038,ロフラゼプ酸エチル
,ロフラゼプ酸エチル1ｍｇ錠,1ｍｇ1錠,,後発品,,,,内用薬,6.1,,,,錠,90,1124029F1018,ロフラゼプ酸エチル
,メイラックス錠1ｍｇ,1ｍｇ1錠,局,,,○,,内用薬,10.4,,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,先発品,錠,91,1124029F1026,ロフラゼプ酸エチル
,ロフラゼプ酸エチル2ｍｇ錠,2ｍｇ1錠,,後発品,,,,内用薬,9.6,,,,錠,92,1124029F2014,ロフラゼプ酸エチル
,メイラックス錠2ｍｇ,2ｍｇ1錠,局,,,○,,内用薬,15.1,,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,先発品,錠,93,1124029F2022,ロフラゼプ酸エチル
,クアゼパム15ｍｇ錠,15ｍｇ1錠,,後発品,,,,内用薬,21.7,,,,錠,94,1124030F1010,クアゼパム
,ドラール錠15,15ｍｇ1錠,,,,○,,内用薬,43.5,,久光製薬,先発品,錠,95,1124030F1029,クアゼパム
,クアゼパム錠15ｍｇ「ＭＮＰ」,15ｍｇ1錠,,後発品,,,,内用薬,28,,日新製薬（山形）,,錠,96,1124030F1037,クアゼパム
,クアゼパム錠15ｍｇ「トーワ」,15ｍｇ1錠,,後発品,,,,内用薬,28,,東和薬品,,錠,97,1124030F1061,クアゼパム
,クアゼパム錠15ｍｇ「日医工」,15ｍｇ1錠,,後発品,,,,内用薬,28,,日医工,,錠,98,1124030F1070,クアゼパム
,クアゼパム20ｍｇ錠,20ｍｇ1錠,,後発品,,,,内用薬,27.8,,,,錠,99,1124030F2017,クアゼパム
,ドラール錠20,20ｍｇ1錠,,,,○,,内用薬,53.6,,久光製薬,先発品,錠,100,1124030F2025,クアゼパム
,クアゼパム錠20ｍｇ「ＭＮＰ」,20ｍｇ1錠,,後発品,,,,内用薬,32.9,,日新製薬（山形）,,錠,101,1124030F2033,クアゼパム
,クアゼパム錠20ｍｇ「トーワ」,20ｍｇ1錠,,後発品,,,,内用薬,32.9,,東和薬品,,錠,102,1124030F2050,クアゼパム
,クアゼパム錠20ｍｇ「日医工」,20ｍｇ1錠,,後発品,,,,内用薬,32.9,,日医工,,錠,103,1124030F2084,クアゼパム
,ドルミカムシロップ2ｍｇ／ｍＬ,0．2％1ｍＬ,,,,,R7.11.12収載,内用薬,1117.8,,丸石製薬,先発品,錠,104,1124031Q1024,ミダゾラム
,アモバルビタール,1ｇ,局,,,,,内用薬,39.5,,,,錠,105,1125001X1017,アモバルビタール
,バルビタール,1ｇ,局,,,,,内用薬,10,,,,錠,106,1125002X1011,バルビタール
,フェノバルビタール散10％,10％1ｇ,局,,,,,内用薬,7.5,,,,錠,107,1125003B2015,フェノバルビタール
,フェノバール散10％,10％1ｇ,局,,,,,内用薬,7.7,,藤永製薬,,錠,108,1125003B2031,フェノバルビタール
,フェノバルビタール,1ｇ,局,,,,,内用薬,46.3,,,,錠,109,1125003X1016,フェノバルビタール
,フェノバール錠30ｍｇ,30ｍｇ1錠,局,,,,,内用薬,10.4,,藤永製薬,,錠,110,1125004F1023,フェノバルビタール
,フェノバールエリキシル0．4％,0．4％1ｍＬ,,,,,,内用薬,2.5,,藤永製薬,,錠,111,1125004S1030,フェノバルビタール
,ラボナ錠50ｍｇ,50ｍｇ1錠,局,,,,,内用薬,9.2,,田辺ファーマ,,錠,112,1125006F1030,ペントバルビタールカルシウム
,臭化カリウム,10ｇ,局,,,,,内用薬,82.6,,,,錠,113,1126001X1014,臭化カリウム
,臭化ナトリウム,10ｇ,局,,,,,内用薬,83.5,,,,錠,114,1126002X1019,臭化ナトリウム
,トリクロリールシロップ10％,10％1ｍＬ,局,,,,,内用薬,10.5,,アルフレッサファーマ,,錠,115,1129004Q1031,トリクロホスナトリウム
,リスミー錠1ｍｇ,1ｍｇ1錠,局,,,,,内用薬,10.4,,共和薬品工業,先発品,錠,116,1129006F1021,リルマザホン塩酸塩水和物
,リスミー錠2ｍｇ,2ｍｇ1錠,局,,,,,内用薬,16.2,,共和薬品工業,先発品,錠,117,1129006F2028,リルマザホン塩酸塩水和物
,ゾピクロン7．5ｍｇ錠,7．5ｍｇ1錠,,後発品,,,,内用薬,6.7,,,,錠,118,1129007F1018,ゾピクロン
,アモバン錠7．5,7．5ｍｇ1錠,局,,,○,,内用薬,11.8,,サノフィ,先発品,錠,119,1129007F1026,ゾピクロン
,ゾピクロン10ｍｇ錠,10ｍｇ1錠,,後発品,,,,内用薬,7.5,,,,錠,120,1129007F2014,ゾピクロン
,アモバン錠10,10ｍｇ1錠,局,,,○,,内用薬,12.9,,サノフィ,先発品,錠,121,1129007F2022,ゾピクロン
,タンドスピロンクエン酸塩5ｍｇ錠,5ｍｇ1錠,,後発品,,,,内用薬,6.1,,,,錠,122,1129008F1012,タンドスピロンクエン酸塩
,セディール錠5ｍｇ,5ｍｇ1錠,,,,○,,内用薬,8.6,,住友ファーマ,先発品,錠,123,1129008F1039,タンドスピロンクエン酸塩
,タンドスピロンクエン酸塩10ｍｇ錠,10ｍｇ1錠,,後発品,,,,内用薬,9.3,,,,錠,124,1129008F2019,タンドスピロンクエン酸塩
,セディール錠10ｍｇ,10ｍｇ1錠,,,,○,,内用薬,15.5,,住友ファーマ,先発品,錠,125,1129008F2035,タンドスピロンクエン酸塩
,タンドスピロンクエン酸塩20ｍｇ錠,20ｍｇ1錠,,後発品,,,,内用薬,18,,,,錠,126,1129008F3015,タンドスピロンクエン酸塩
,セディール錠20ｍｇ,20ｍｇ1錠,,,,○,,内用薬,25.8,,住友ファーマ,先発品,錠,127,1129008F3023,タンドスピロンクエン酸塩
,ゾルピデム酒石酸塩5ｍｇ錠,5ｍｇ1錠,,後発品,,,,内用薬,10.4,,,,錠,128,1129009F1017,ゾルピデム酒石酸塩
,マイスリー錠5ｍｇ,5ｍｇ1錠,局,,,○,,内用薬,17.5,,アステラス製薬,先発品,錠,129,1129009F1025,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠5ｍｇ「日医工」,5ｍｇ1錠,局,後発品,,,,内用薬,10.6,,日医工,,錠,130,1129009F1297,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩10ｍｇ錠,10ｍｇ1錠,,後発品,,,,内用薬,10.4,,,,錠,131,1129009F2013,ゾルピデム酒石酸塩
,マイスリー錠10ｍｇ,10ｍｇ1錠,局,,,○,,内用薬,26.9,,アステラス製薬,先発品,錠,132,1129009F2021,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＡＦＰ」,10ｍｇ1錠,局,後発品,,,,内用薬,15,,アルフレッサファーマ,,錠,133,1129009F2048,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＤＳＥＰ」,10ｍｇ1錠,局,後発品,,,,内用薬,11.2,,第一三共エスファ,,錠,134,1129009F2064,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＪＧ」,10ｍｇ1錠,局,後発品,,,,内用薬,14.2,,日本ジェネリック,,錠,135,1129009F2110,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＴＣＫ」,10ｍｇ1錠,局,後発品,,,,内用薬,12.3,,辰巳化学,,錠,136,1129009F2161,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＹＤ」,10ｍｇ1錠,局,後発品,,,,内用薬,11.2,,陽進堂,,錠,137,1129009F2170,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＺＥ」,10ｍｇ1錠,局,後発品,,,,内用薬,12.3,,全星薬品工業,,錠,138,1129009F2188,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「オーハラ」,10ｍｇ1錠,局,後発品,,,,内用薬,11.2,,大原薬品工業,,錠,139,1129009F2218,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ケミファ」,10ｍｇ1錠,局,後発品,,,,内用薬,15,,日本ケミファ,,錠,140,1129009F2234,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「サワイ」,10ｍｇ1錠,局,後発品,,,,内用薬,11.2,,沢井製薬,,錠,141,1129009F2242,ゾルピデム酒石酸塩
R8.3.31まで,ゾルピデム酒石酸塩錠10ｍｇ「タカタ」,10ｍｇ1錠,局,後発品,,,,内用薬,12.3,,高田製薬,,錠,142,1129009F2269,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「トーワ」,10ｍｇ1錠,局,後発品,,,,内用薬,14.2,,東和薬品,,錠,143,1129009F2285,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「日医工」,10ｍｇ1錠,局,後発品,,,,内用薬,15,,日医工,,錠,144,1129009F2293,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「日新」,10ｍｇ1錠,局,後発品,,,,内用薬,11.2,,日新製薬（山形）,,錠,145,1129009F2307,ゾルピデム酒石酸塩
R8.3.31まで,ゾルピデム酒石酸塩錠10ｍｇ「明治」,10ｍｇ1錠,局,後発品,,,,内用薬,13.6,,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,錠,146,1129009F2331,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＫＭＰ」,10ｍｇ1錠,局,後発品,,,,内用薬,12.3,,共創未来ファーマ,,錠,147,1129009F2358,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＮＰＩ」,10ｍｇ1錠,局,後発品,,,,内用薬,15,,東洋カプセル,,錠,148,1129009F2366,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩錠10ｍｇ「ＮＩＧ」,10ｍｇ1錠,局,後発品,,,,内用薬,13.6,,日医工岐阜工場,,錠,149,1129009F2374,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩5ｍｇ口腔内崩壊錠,5ｍｇ1錠,,後発品,,,,内用薬,10.4,,,,錠,150,1129009F3010,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩ＯＤ錠5ｍｇ「日医工」,5ｍｇ1錠,,後発品,,,,内用薬,10.6,,日医工,,錠,151,1129009F3079,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩ＯＤ錠10ｍｇ「サワイ」,10ｍｇ1錠,,後発品,,,,内用薬,11.2,,沢井製薬,,錠,152,1129009F4040,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩ＯＤフィルム10ｍｇ「モチダ」,10ｍｇ1錠,,後発品,,,,内用薬,22.2,,救急薬品工業,,錠,153,1129009F4059,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩ＯＤ錠10ｍｇ「トーワ」,10ｍｇ1錠,,後発品,,,,内用薬,14.2,,東和薬品,,錠,154,1129009F4067,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩ＯＤ錠10ｍｇ「日医工」,10ｍｇ1錠,,後発品,,,,内用薬,15,,日医工,,錠,155,1129009F4075,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩内用液5ｍｇ「タカタ」,5ｍｇ1ｍＬ1包,,後発品,,,,内用薬,29.3,,高田製薬,,錠,156,1129009S1023,ゾルピデム酒石酸塩
,ゾルピデム酒石酸塩内用液10ｍｇ「タカタ」,10ｍｇ2ｍＬ1包,,後発品,,,,内用薬,40.4,,高田製薬,,錠,157,1129009S2020,ゾルピデム酒石酸塩
,エスゾピクロン1ｍｇ錠,1ｍｇ1錠,,後発品,,,,内用薬,7.7,,,,錠,158,1129010F1010,エスゾピクロン
,ルネスタ錠1ｍｇ,1ｍｇ1錠,,,,○,,内用薬,28.5,,エーザイ,先発品,錠,159,1129010F1028,エスゾピクロン
,エスゾピクロン錠1ｍｇ「ＫＭＰ」,1ｍｇ1錠,,後発品,,,,内用薬,9.5,,共創未来ファーマ,,錠,160,1129010F1044,エスゾピクロン
,エスゾピクロン錠1ｍｇ「ＮＰＩ」,1ｍｇ1錠,,後発品,,,,内用薬,9.2,,日本薬品工業,,錠,161,1129010F1052,エスゾピクロン
,エスゾピクロン錠1ｍｇ「ＹＤ」,1ｍｇ1錠,,後発品,,,,内用薬,9.5,,陽進堂,,錠,162,1129010F1079,エスゾピクロン
,エスゾピクロン錠1ｍｇ「明治」,1ｍｇ1錠,,後発品,,,,内用薬,9.2,,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,錠,163,1129010F1150,エスゾピクロン
,エスゾピクロン2ｍｇ錠,2ｍｇ1錠,,後発品,,,,内用薬,12.5,,,,錠,164,1129010F2016,エスゾピクロン
,ルネスタ錠2ｍｇ,2ｍｇ1錠,,,,○,,内用薬,46.6,,エーザイ,先発品,錠,165,1129010F2024,エスゾピクロン
,エスゾピクロン錠2ｍｇ「ＫＭＰ」,2ｍｇ1錠,,後発品,,,,内用薬,15.9,,共創未来ファーマ,,錠,166,1129010F2040,エスゾピクロン
,エスゾピクロン錠2ｍｇ「ＮＰＩ」,2ｍｇ1錠,,後発品,,,,内用薬,15,,日本薬品工業,,錠,167,1129010F2059,エスゾピクロン
,エスゾピクロン錠2ｍｇ「明治」,2ｍｇ1錠,,後発品,,,,内用薬,15,,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,錠,168,1129010F2156,エスゾピクロン
,エスゾピクロン3ｍｇ錠,3ｍｇ1錠,,後発品,,,,内用薬,14.6,,,,錠,169,1129010F3012,エスゾピクロン
,ルネスタ錠3ｍｇ,3ｍｇ1錠,,,,○,,内用薬,54.7,,エーザイ,先発品,錠,170,1129010F3020,エスゾピクロン
,エスゾピクロン錠3ｍｇ「ＫＭＰ」,3ｍｇ1錠,,後発品,,,,内用薬,20.2,,共創未来ファーマ,,錠,171,1129010F3047,エスゾピクロン
,エスゾピクロン錠3ｍｇ「ＮＰＩ」,3ｍｇ1錠,,後発品,,,,内用薬,18.5,,日本薬品工業,,錠,172,1129010F3055,エスゾピクロン
,エスゾピクロン錠3ｍｇ「ＹＤ」,3ｍｇ1錠,,後発品,,,,内用薬,21.4,,陽進堂,,錠,173,1129010F3071,エスゾピクロン
,エスゾピクロン錠3ｍｇ「アメル」,3ｍｇ1錠,,後発品,,,,内用薬,18.5,,共和薬品工業,,錠,174,1129010F3080,エスゾピクロン
