excel_品名,薬価,reason
ジアゼパム２ｍｇ錠,5.9,not in dosing_master.csv
２ｍｇセルシン錠,6.2,not in dosing_master.csv
ホリゾン錠２ｍｇ,6.2,not in dosing_master.csv
ジアゼパム５ｍｇ錠,6.0,not in dosing_master.csv
５ｍｇセルシン錠,9.7,not in dosing_master.csv
ホリゾン錠５ｍｇ,9.7,not in dosing_master.csv
１０ｍｇセルシン錠,11.3,not in dosing_master.csv
ジアゼパム錠１０ｍｇ「ツルハラ」,5.9,not in dosing_master.csv
レキソタン細粒１％,14.9,not in dosing_master.csv
ブロマゼパム細粒１％「サンド」,15.5,not in dosing_master.csv
レキソタン錠１,5.9,not in dosing_master.csv
ブロマゼパム錠１ｍｇ「サンド」,5.9,not in dosing_master.csv
レキソタン錠２,6.1,not in dosing_master.csv
ブロマゼパム錠２ｍｇ「サンド」,5.9,not in dosing_master.csv
ブロマゼパム錠３ｍｇ「サンド」,6.1,not in dosing_master.csv
ブロマゼパム５ｍｇ錠,6.1,not in dosing_master.csv
レキソタン錠５,7.0,not in dosing_master.csv
メダゼパム錠２（ツルハラ）,8.3,not in dosing_master.csv
レスミット錠２,5.9,not in dosing_master.csv
メダゼパム錠５（ツルハラ）,5.9,not in dosing_master.csv
レスミット錠５,5.9,not in dosing_master.csv
ワイパックス錠０．５,6.1,not in dosing_master.csv
ロラゼパム錠０．５ｍｇ「サワイ」,5.3,not in dosing_master.csv
ロラゼパム１ｍｇ錠,5.9,not in dosing_master.csv
ワイパックス錠１．０,6.1,not in dosing_master.csv
アルプラゾラム０．４ｍｇ錠,5.9,not in dosing_master.csv
コンスタン０．４ｍｇ錠,6.1,not in dosing_master.csv
ソラナックス０．４ｍｇ錠,6.1,not in dosing_master.csv
アルプラゾラム０．８ｍｇ錠,6.1,not in dosing_master.csv
コンスタン０．８ｍｇ錠,7.7,not in dosing_master.csv
ソラナックス０．８ｍｇ錠,7.6,not in dosing_master.csv
アルプラゾラム錠０．８ｍｇ「アメル」,8.2,not in dosing_master.csv
メレックス細粒０．１％,10.8,not in dosing_master.csv
メレックス錠０．５ｍｇ,6.1,not in dosing_master.csv
メレックス錠１ｍｇ,7.9,not in dosing_master.csv
トフィソパム細粒１０％「ツルハラ」,10.4,not in dosing_master.csv
トフィソパム５０ｍｇ錠,6.1,not in dosing_master.csv
グランダキシン錠５０,8.2,not in dosing_master.csv
クロルジアゼポキシド散,7.7,not in dosing_master.csv
クロルジアゼポキシド散１％「ツルハラ」,11.0,not in dosing_master.csv
クロルジアゼポキシド散,30.6,not in dosing_master.csv
クロルジアゼポキシド錠,10.1,not in dosing_master.csv
クロルジアゼポキシド錠,10.1,not in dosing_master.csv
メイラックス細粒１％,123.6,not in dosing_master.csv
ロフラゼプ酸エチル１ｍｇ錠,6.1,not in dosing_master.csv
メイラックス錠１ｍｇ,10.4,not in dosing_master.csv
ロフラゼプ酸エチル２ｍｇ錠,9.6,not in dosing_master.csv
メイラックス錠２ｍｇ,15.1,not in dosing_master.csv
クアゼパム１５ｍｇ錠,21.7,not in dosing_master.csv
ドラール錠１５,43.5,not in dosing_master.csv
クアゼパム錠１５ｍｇ「ＭＮＰ」,28.0,not in dosing_master.csv
クアゼパム錠１５ｍｇ「トーワ」,28.0,not in dosing_master.csv
クアゼパム錠１５ｍｇ「日医工」,28.0,not in dosing_master.csv
クアゼパム２０ｍｇ錠,27.8,not in dosing_master.csv
ドラール錠２０,53.6,not in dosing_master.csv
クアゼパム錠２０ｍｇ「ＭＮＰ」,32.9,not in dosing_master.csv
クアゼパム錠２０ｍｇ「トーワ」,32.9,not in dosing_master.csv
クアゼパム錠２０ｍｇ「日医工」,32.9,not in dosing_master.csv
ドルミカムシロップ２ｍｇ／ｍＬ,1117.8,not in dosing_master.csv
アモバルビタール,39.5,not in dosing_master.csv
バルビタール,10.0,not in dosing_master.csv
フェノバルビタール散１０％,7.5,not in dosing_master.csv
フェノバール散１０％,7.7,not in dosing_master.csv
フェノバルビタール,46.3,not in dosing_master.csv
フェノバール錠３０ｍｇ,10.4,not in dosing_master.csv
フェノバールエリキシル０．４％,2.5,not in dosing_master.csv
ラボナ錠５０ｍｇ,9.2,not in dosing_master.csv
臭化カリウム,82.6,not in dosing_master.csv
臭化ナトリウム,83.5,not in dosing_master.csv
トリクロリールシロップ１０％,10.5,not in dosing_master.csv
リスミー錠１ｍｇ,10.4,not in dosing_master.csv
リスミー錠２ｍｇ,16.2,not in dosing_master.csv
ゾピクロン７．５ｍｇ錠,6.7,not in dosing_master.csv
アモバン錠７．５,11.8,not in dosing_master.csv
ゾピクロン１０ｍｇ錠,7.5,not in dosing_master.csv
アモバン錠１０,12.9,not in dosing_master.csv
タンドスピロンクエン酸塩５ｍｇ錠,6.1,not in dosing_master.csv
セディール錠５ｍｇ,8.6,not in dosing_master.csv
タンドスピロンクエン酸塩１０ｍｇ錠,9.3,not in dosing_master.csv
セディール錠１０ｍｇ,15.5,not in dosing_master.csv
タンドスピロンクエン酸塩２０ｍｇ錠,18.0,not in dosing_master.csv
セディール錠２０ｍｇ,25.8,not in dosing_master.csv
ゾルピデム酒石酸塩５ｍｇ錠,10.4,not in dosing_master.csv
マイスリー錠５ｍｇ,17.5,not in dosing_master.csv
ゾルピデム酒石酸塩錠５ｍｇ「日医工」,10.6,not in dosing_master.csv
ゾルピデム酒石酸塩１０ｍｇ錠,10.4,not in dosing_master.csv
マイスリー錠１０ｍｇ,26.9,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,15.0,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,11.2,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,14.2,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,12.3,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,11.2,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,12.3,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,11.2,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,15.0,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,11.2,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,12.3,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,14.2,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,15.0,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「日新」,11.2,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「明治」,13.6,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,12.3,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,15.0,not in dosing_master.csv
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,13.6,not in dosing_master.csv
ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,10.4,not in dosing_master.csv
ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「日医工」,10.6,not in dosing_master.csv
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,11.2,not in dosing_master.csv
ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,22.2,not in dosing_master.csv
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,14.2,not in dosing_master.csv
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,15.0,not in dosing_master.csv
ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,29.3,not in dosing_master.csv
ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,40.4,not in dosing_master.csv
エスゾピクロン１ｍｇ錠,7.7,not in dosing_master.csv
ルネスタ錠１ｍｇ,28.5,not in dosing_master.csv
エスゾピクロン錠１ｍｇ「ＫＭＰ」,9.5,not in dosing_master.csv
エスゾピクロン錠１ｍｇ「ＮＰＩ」,9.2,not in dosing_master.csv
エスゾピクロン錠１ｍｇ「ＹＤ」,9.5,not in dosing_master.csv
エスゾピクロン錠１ｍｇ「明治」,9.2,not in dosing_master.csv
エスゾピクロン２ｍｇ錠,12.5,not in dosing_master.csv
ルネスタ錠２ｍｇ,46.6,not in dosing_master.csv
エスゾピクロン錠２ｍｇ「ＫＭＰ」,15.9,not in dosing_master.csv
エスゾピクロン錠２ｍｇ「ＮＰＩ」,15.0,not in dosing_master.csv
エスゾピクロン錠２ｍｇ「明治」,15.0,not in dosing_master.csv
エスゾピクロン３ｍｇ錠,14.6,not in dosing_master.csv
ルネスタ錠３ｍｇ,54.7,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「ＫＭＰ」,20.2,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「ＮＰＩ」,18.5,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「ＹＤ」,21.4,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「アメル」,18.5,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「杏林」,18.5,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「トーワ」,18.5,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「日新」,18.5,not in dosing_master.csv
エスゾピクロン錠３ｍｇ「明治」,18.5,not in dosing_master.csv
クランポール末,126.6,not in dosing_master.csv
クランポール錠２００ｍｇ,42.9,not in dosing_master.csv
アクセノン末,201.2,not in dosing_master.csv
フェニトイン散,12.1,not in dosing_master.csv
フェニトイン錠,11.9,not in dosing_master.csv
アレビアチン錠２５ｍｇ,12.1,not in dosing_master.csv
フェニトイン錠,12.8,not in dosing_master.csv
アレビアチン錠１００ｍｇ,12.9,not in dosing_master.csv
ミノアレ散６６．７％,36.2,not in dosing_master.csv
プリミドン細粒９９．５％「日医工」,55.7,not in dosing_master.csv
プリミドン錠２５０ｍｇ「日医工」,17.3,not in dosing_master.csv
オスポロット錠５０ｍｇ,25.0,not in dosing_master.csv
オスポロット錠２００ｍｇ,64.0,not in dosing_master.csv
エピレオプチマル散５０％,25.1,not in dosing_master.csv
ザロンチンシロップ５％,6.9,not in dosing_master.csv
カルバマゼピン細粒５０％「アメル」,22.2,not in dosing_master.csv
テグレトール細粒５０％,22.2,not in dosing_master.csv
カルバマゼピン細粒５０％「フジナガ」,22.2,not in dosing_master.csv
テグレトール錠２００ｍｇ,7.7,not in dosing_master.csv
カルバマゼピン錠２００ｍｇ「アメル」,10.0,not in dosing_master.csv
カルバマゼピン錠２００ｍｇ「フジナガ」,7.7,not in dosing_master.csv
カルバマゼピン１００ｍｇ錠,5.9,not in dosing_master.csv
テグレトール錠１００ｍｇ,6.1,not in dosing_master.csv
リボトリール細粒０．１％,8.3,not in dosing_master.csv
ランドセン細粒０．１％,8.1,not in dosing_master.csv
リボトリール細粒０．５％,35.9,not in dosing_master.csv
ランドセン細粒０．５％,31.7,not in dosing_master.csv
リボトリール錠０．５ｍｇ,9.6,not in dosing_master.csv
ランドセン錠０．５ｍｇ,9.6,not in dosing_master.csv
リボトリール錠１ｍｇ,10.4,not in dosing_master.csv
ランドセン錠１ｍｇ,10.4,not in dosing_master.csv
リボトリール錠２ｍｇ,13.2,not in dosing_master.csv
ランドセン錠２ｍｇ,13.7,not in dosing_master.csv
バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」,18.1,not in dosing_master.csv
デパケン細粒４０％,19.7,not in dosing_master.csv
バルプロ酸ナトリウム細粒４０％「ＥＭＥＣ」,25.9,not in dosing_master.csv
セレニカＲ顆粒４０％,36.7,not in dosing_master.csv
バルプロ酸Ｎａ徐放顆粒４０％「フジナガ」,26.3,not in dosing_master.csv
バルプロ酸ナトリウム１００ｍｇ錠,10.4,not in dosing_master.csv
デパケン錠１００ｍｇ,10.4,not in dosing_master.csv
バルプロ酸ナトリウム錠２００ｍｇ「アメル」,14.3,not in dosing_master.csv
デパケン錠２００ｍｇ,10.4,not in dosing_master.csv
バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,11.5,not in dosing_master.csv
バルプロ酸ナトリウム錠２００ｍｇ「ＤＳＰ」,14.3,not in dosing_master.csv
バルプロ酸ナトリウム１００ｍｇ徐放錠,10.4,not in dosing_master.csv
デパケンＲ錠１００ｍｇ,10.4,not in dosing_master.csv
バルプロ酸ナトリウム２００ｍｇ徐放錠,10.4,not in dosing_master.csv
セレニカＲ錠２００ｍｇ,10.9,not in dosing_master.csv
バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,12.3,not in dosing_master.csv
デパケンＲ錠２００ｍｇ,11.3,not in dosing_master.csv
セレニカＲ錠４００ｍｇ,17.4,not in dosing_master.csv
バルプロ酸ナトリウム５％シロップ,7.0,not in dosing_master.csv
デパケンシロップ５％,7.9,not in dosing_master.csv
バルプロ酸ナトリウムシロップ５％「日医工」,9.3,not in dosing_master.csv
ゾニサミド２０％散,25.6,not in dosing_master.csv
エクセグラン散２０％,29.9,not in dosing_master.csv
ゾニサミド１００ｍｇ錠,11.7,not in dosing_master.csv
エクセグラン錠１００ｍｇ,15.0,not in dosing_master.csv
マイスタン細粒１％,23.3,not in dosing_master.csv
マイスタン錠５ｍｇ,14.0,not in dosing_master.csv
マイスタン錠１０ｍｇ,24.8,not in dosing_master.csv
ガバペン錠２００ｍｇ,24.6,not in dosing_master.csv
ガバペン錠３００ｍｇ,31.9,not in dosing_master.csv
ガバペン錠４００ｍｇ,40.9,not in dosing_master.csv
ガバペンシロップ５％,17.0,not in dosing_master.csv
トピナ細粒１０％,110.2,not in dosing_master.csv
トピナ錠５０ｍｇ,45.1,not in dosing_master.csv
トピラマート錠５０ｍｇ「アメル」,21.0,not in dosing_master.csv
トピナ錠１００ｍｇ,76.1,not in dosing_master.csv
トピラマート錠１００ｍｇ「アメル」,30.5,not in dosing_master.csv
トピナ錠２５ｍｇ,23.0,not in dosing_master.csv
トピラマート錠２５ｍｇ「アメル」,11.1,not in dosing_master.csv
ラモトリギン２ｍｇ錠,6.1,not in dosing_master.csv
ラミクタール錠小児用２ｍｇ,6.1,not in dosing_master.csv
ラモトリギン５ｍｇ錠,6.1,not in dosing_master.csv
ラミクタール錠小児用５ｍｇ,8.6,not in dosing_master.csv
ラモトリギン２５ｍｇ錠,7.6,not in dosing_master.csv
ラミクタール錠２５ｍｇ,28.3,not in dosing_master.csv
ラモトリギン錠２５ｍｇ「ＪＧ」,27.6,not in dosing_master.csv
ラモトリギン錠２５ｍｇ「アメル」,11.7,not in dosing_master.csv
ラモトリギン錠２５ｍｇ「サワイ」,11.7,not in dosing_master.csv
ラモトリギン錠２５ｍｇ「トーワ」,11.7,not in dosing_master.csv
ラミクタール錠１００ｍｇ,72.6,not in dosing_master.csv
ラモトリギン錠１００ｍｇ「ＪＧ」,75.0,not in dosing_master.csv
ラモトリギン錠１００ｍｇ「アメル」,28.7,not in dosing_master.csv
ラモトリギン錠１００ｍｇ「サワイ」,28.7,not in dosing_master.csv
ラモトリギン錠１００ｍｇ「トーワ」,28.7,not in dosing_master.csv
ラモトリギン錠１００ｍｇ「日医工」,28.7,not in dosing_master.csv
イーケプラ錠２５０ｍｇ,69.3,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「ＪＧ」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「ＶＴＲＳ」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「アメル」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「杏林」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「サワイ」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「タカタ」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「トーワ」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「日医工」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「日新」,26.3,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「フェルゼン」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「明治」,25.4,not in dosing_master.csv
レベチラセタム錠２５０ｍｇ「サンド」,25.4,not in dosing_master.csv
イーケプラ錠５００ｍｇ,112.9,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「ＪＧ」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「ＶＴＲＳ」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「アメル」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「杏林」,46.0,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「サワイ」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「タカタ」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「トーワ」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「日医工」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「日新」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「フェルゼン」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「明治」,41.6,not in dosing_master.csv
レベチラセタム錠５００ｍｇ「サンド」,41.6,not in dosing_master.csv
レベチラセタム粒状錠２５０ｍｇ「サワイ」,26.3,not in dosing_master.csv
レベチラセタム粒状錠５００ｍｇ「サワイ」,41.6,not in dosing_master.csv
イーケプラドライシロップ５０％,133.1,not in dosing_master.csv
レベチラセタムドライシロップ５０％「ＪＧ」,63.7,not in dosing_master.csv
レベチラセタムドライシロップ５０％「ＹＤ」,63.7,not in dosing_master.csv
レベチラセタムＤＳ５０％「杏林」,63.7,not in dosing_master.csv
レベチラセタムＤＳ５０％「サワイ」,63.7,not in dosing_master.csv
レベチラセタムＤＳ５０％「タカタ」,68.9,not in dosing_master.csv
レベチラセタムＤＳ５０％「トーワ」,63.7,not in dosing_master.csv
レベチラセタムドライシロップ５０％「日医工」,63.7,not in dosing_master.csv
レベチラセタムドライシロップ５０％「日新」,63.7,not in dosing_master.csv
レベチラセタムドライシロップ５０％「明治」,63.7,not in dosing_master.csv
ディアコミットカプセル２５０ｍｇ,793.7,not in dosing_master.csv
ディアコミットドライシロップ分包２５０ｍｇ,791.1,not in dosing_master.csv
ディアコミットドライシロップ分包５００ｍｇ,1580.7,not in dosing_master.csv
イノベロン錠１００ｍｇ,83.2,not in dosing_master.csv
イノベロン錠２００ｍｇ,136.1,not in dosing_master.csv
サブリル散分包５００ｍｇ,1514.5,not in dosing_master.csv
フィコンパ細粒１％,1065.6,not in dosing_master.csv
フィコンパ錠２ｍｇ,195.7,not in dosing_master.csv
フィコンパ錠４ｍｇ,319.7,not in dosing_master.csv
ビムパット錠５０ｍｇ,217.8,not in dosing_master.csv
ラコサミド錠５０ｍｇ「ＪＧ」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「ＶＴＲＳ」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「ＹＤ」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「アメル」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「ケミファ」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「サワイ」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「サンド」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「ダイト」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「タカタ」,76.3,not in dosing_master.csv
ラコサミド錠５０ｍｇ「日新」,76.3,not in dosing_master.csv
ビムパット錠１００ｍｇ,355.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「ＪＧ」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「ＶＴＲＳ」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「ＹＤ」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「アメル」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「ケミファ」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「サワイ」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「サンド」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「ダイト」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「タカタ」,124.5,not in dosing_master.csv
ラコサミド錠１００ｍｇ「日新」,124.5,not in dosing_master.csv
ビムパットドライシロップ１０％,391.0,not in dosing_master.csv
ラコサミドドライシロップ１０％「ＪＧ」,137.1,not in dosing_master.csv
ラコサミドドライシロップ１０％「ＹＤ」,137.1,not in dosing_master.csv
ラコサミドＤＳ１０％「アメル」,137.1,not in dosing_master.csv
ラコサミドドライシロップ１０％「ケミファ」,137.1,not in dosing_master.csv
ラコサミドＤＳ１０％「サワイ」,137.1,not in dosing_master.csv
ラコサミドドライシロップ１０％「サンド」,137.1,not in dosing_master.csv
ラコサミドドライシロップ１０％「ダイト」,137.1,not in dosing_master.csv
ラコサミドＤＳ１０％「タカタ」,137.1,not in dosing_master.csv
ラコサミドドライシロップ１０％「日新」,137.1,not in dosing_master.csv
フィンテプラ内用液２．２ｍｇ／ｍＬ,1618.7,not in dosing_master.csv
ブリィビアクト錠２５ｍｇ,373.3,not in dosing_master.csv
ブリィビアクト錠５０ｍｇ,609.3,not in dosing_master.csv
複合アレビアチン配合錠,14.6,not in dosing_master.csv
ヒダントールＤ配合錠,6.1,not in dosing_master.csv
ヒダントールＥ配合錠,6.0,not in dosing_master.csv
ヒダントールＦ配合錠,6.1,not in dosing_master.csv
アセトアミノフェン,7.5,not in dosing_master.csv
アセトアミノフェン「ヨシダ」,8.2,not in dosing_master.csv
アセトアミノフェン「ＪＧ」原末,7.7,not in dosing_master.csv
ポンタール散５０％,10.7,not in dosing_master.csv
ポンタール細粒９８．５％,12.7,not in dosing_master.csv
ポンタールカプセル２５０ｍｇ,6.5,not in dosing_master.csv
ポンタールシロップ３．２５％,6.7,not in dosing_master.csv
アセトアミノフェン２０％細粒,6.7,not in dosing_master.csv
カロナール細粒２０％,12.2,not in dosing_master.csv
アセトアミノフェン細粒２０％「トーワ」,12.2,not in dosing_master.csv
カロナール細粒５０％,13.6,not in dosing_master.csv
アセトアミノフェン２００ｍｇ錠,6.1,not in dosing_master.csv
カロナール錠２００,6.7,not in dosing_master.csv
アセトアミノフェン錠２００ｍｇ「ＪＧ」,6.7,not in dosing_master.csv
アセトアミノフェン錠２００ｍｇ「ＴＣＫ」,6.7,not in dosing_master.csv
アセトアミノフェン３００ｍｇ錠,6.1,not in dosing_master.csv
カロナール錠３００,7.0,not in dosing_master.csv
アセトアミノフェン錠３００ｍｇ「ＪＧ」,7.0,not in dosing_master.csv
カロナール錠５００,11.3,not in dosing_master.csv
アセトアミノフェン錠５００ｍｇ「マルイシ」,11.3,not in dosing_master.csv
アセトアミノフェン錠５００ｍｇ「ケンエー」,11.2,not in dosing_master.csv
アセトアミノフェン２％シロップ,4.9,not in dosing_master.csv
アセトアミノフェンＤＳ小児用２０％「タカタ」,7.2,not in dosing_master.csv
アセトアミノフェンＤＳ小児用２０％「トーワ」,17.0,not in dosing_master.csv
アセトアミノフェンＤＳ小児用２０％「三和」,17.0,not in dosing_master.csv
アセトアミノフェンＤＳ４０％「三和」,14.8,not in dosing_master.csv
アスピリン「ケンエー」,43.8,not in dosing_master.csv
アスピリン「ホエイ」,35.6,not in dosing_master.csv
アスピリン（山善）,49.1,not in dosing_master.csv
アスピリン「ヨシダ」,49.1,not in dosing_master.csv
アスピリン原末「マルイシ」,49.1,not in dosing_master.csv
エテンザミド,11.7,not in dosing_master.csv
イソプロピルアンチピリン,12.3,not in dosing_master.csv
スルピリン水和物,7.5,not in dosing_master.csv
ミグレニン,7.7,not in dosing_master.csv
インドメタシンカプセル,9.8,not in dosing_master.csv
ランツジールコーワ錠３０ｍｇ,10.4,not in dosing_master.csv
インフリーカプセル１００ｍｇ,10.7,not in dosing_master.csv
インフリーＳカプセル２００ｍｇ,18.7,not in dosing_master.csv
ジクロフェナクナトリウム２５ｍｇ錠,5.9,not in dosing_master.csv
ボルタレン錠２５ｍｇ,7.3,not in dosing_master.csv
ナボールＳＲカプセル３７．５,10.0,not in dosing_master.csv
ボルタレンＳＲカプセル３７．５ｍｇ,7.6,not in dosing_master.csv
ソランタール錠５０ｍｇ,10.1,not in dosing_master.csv
ソランタール錠１００ｍｇ,10.4,not in dosing_master.csv
イブプロフェン２０％顆粒,6.5,not in dosing_master.csv
ブルフェン顆粒２０％,7.0,not in dosing_master.csv
ブルフェン錠１００,6.1,not in dosing_master.csv
イブプロフェン錠１００ｍｇ「ＴＣＫ」,6.1,not in dosing_master.csv
イブプロフェン錠１００ｍｇ「ＮＩＧ」,6.1,not in dosing_master.csv
ブルフェン錠２００,6.1,not in dosing_master.csv
イブプロフェン錠２００ｍｇ「ＴＣＫ」,8.9,not in dosing_master.csv
イブプロフェン錠２００ｍｇ「ＮＩＧ」,8.9,not in dosing_master.csv
ナイキサン錠１００ｍｇ,6.1,not in dosing_master.csv
パラミヂンカプセル３００ｍｇ,9.6,not in dosing_master.csv
